timestamp,open,high,low,close,volume
2019-03-08,138.0900,139.3000,136.4200,138.0600,7046830
2019-03-07,138.5300,139.1200,137.7000,138.2400,6100380
2019-03-06,139.4700,139.6500,138.6000,139.0900,6236946
2019-03-05,138.8100,139.1400,138.3600,138.7700,6568870
2019-03-04,138.8500,139.4100,137.5100,138.4800,8378067
2019-03-01,137.2200,138.6100,137.0100,138.3500,5641586
2019-02-28,135.9500,137.9549,135.6900,136.6400,10133160
2019-02-27,135.5200,136.2500,135.3900,135.8700,4378066
2019-02-26,136.4400,136.9600,136.0500,136.1100,5106878
2019-02-25,136.3500,137.4900,135.8600,136.2000,6846581
2019-02-22,135.2900,136.6400,134.8200,136.6000,5223858
2019-02-21,134.9800,135.7875,134.2688,135.4200,6665481
2019-02-20,135.9700,136.7300,135.7251,136.3500,6089752
2019-02-19,136.1400,136.3800,135.6300,135.6900,5935948
2019-02-15,135.1900,136.4100,135.0100,136.3800,6665038
2019-02-14,134.3000,134.8200,133.3500,134.3100,3910454
2019-02-13,134.0700,134.9800,133.2100,134.4500,7902181
2019-02-12,132.0800,134.3000,132.0800,134.1600,6262320
2019-02-11,132.3100,132.6700,131.2600,132.0000,4962617
2019-02-08,131.9500,132.4600,131.5400,132.4000,4436768
2019-02-07,132.4500,132.6400,131.5300,132.0500,6085346
2019-02-06,133.0800,133.5650,132.3000,133.0000,5066324
2019-02-05,133.5200,133.8800,132.7500,132.8800,6449787
2019-02-04,133.9600,134.1500,132.2100,132.8800,7759043
2019-02-01,134.0200,134.6900,133.4700,134.2000,9575150
2019-01-31,131.6300,135.1900,130.8700,133.0800,17298062
2019-01-30,130.3700,132.1900,130.3000,131.6400,7299455
2019-01-29,128.9500,130.4700,128.5000,130.3300,6669289
2019-01-28,127.8100,129.1500,127.2900,128.9900,6927661
2019-01-25,128.1300,128.4500,127.1800,128.2300,7585947
2019-01-24,128.4900,128.7000,125.0000,127.0300,9917100
2019-01-23,128.5000,129.3000,127.9300,128.8000,9267966
2019-01-22,128.2000,129.5009,127.0100,128.8000,10568128
2019-01-18,129.9000,131.1800,129.4500,130.6900,10592972
2019-01-17,127.7100,129.5200,127.4628,129.0900,7631960
2019-01-16,129.4100,129.4100,127.9000,128.0400,6264150
2019-01-15,128.5200,129.4900,127.6500,129.3600,5194405
2019-01-14,128.7400,128.9600,127.5898,128.2800,7374457
2019-01-11,129.0000,129.8400,128.3100,129.7500,5300666
2019-01-10,127.6900,129.8900,127.6900,129.7100,6224419
2019-01-09,129.8300,130.2400,128.3300,128.9300,7403525
2019-01-08,128.1800,130.5000,127.7300,129.9600,9351570
2019-01-07,127.6300,128.3491,126.7970,127.0100,8404653
2019-01-04,127.1200,128.6500,126.7300,127.8300,8831997
2019-01-03,128.1350,128.2700,125.3600,125.7200,8654685
2019-01-02,128.1300,128.3800,126.2800,127.7500,7631672
2018-12-31,128.1800,129.5500,127.4200,129.0500,7409858
